,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
2116,rlreXp,45-54 years old,2,At home,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Sweet,Medium,Light,Full caffeine,6.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,3.0,4.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$4-$6,$6-$8,Yes,$50-$100,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Democrat
2117,8dpXYA,35-44 years old,Less than 1,At home,"Pour over, Espresso, Other",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Very strong,Medium,Full caffeine,4.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$20-$40,I need the caffeine,Yes,Yes,$4-$6,$4-$6,,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,
2118,KMB9AM,25-34 years old,2,"At a cafe, At home, At the office","Other, Cold brew",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Bold,Very strong,Light,Full caffeine,7.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,Coffee C,Coffee D,Coffee C,I do a mix of both,$40-$60,It tastes good,Yes,Yes,$6-$8,$8-$10,No,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
2119,WApLLL,25-34 years old,3,"At home, At the office",Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Nutty,Medium,Medium,Full caffeine,6.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,Coffee C,Coffee D,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the ritual",Yes,No,$4-$6,$4-$6,Yes,$20-$50,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
2120,AlbEVy,35-44 years old,2,"At home, At the office",Other,Don't purchase on the go,Cold brew,No - just black,Don't add diary,Don't add swetener,Sweet,Somewhat strong,Light,Full caffeine,5.0,4.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,5.0,Coffee C,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2121,vNxl7g,25-34 years old,1,At home,"Pour over, Espresso",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Whole milk,"Granulated Sugar, Raw Sugar (Turbinado)",Fruity,Somewhat light,Nordic,Full caffeine,8.0,2.0,3.0,5.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,"It tastes good, I need the ritual",Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Master's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
2122,GrBZNe,25-34 years old,2,"At the office, At home","Pour over, Espresso",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Juicy,Medium,Light,Full caffeine,6.0,1.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",No,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
2123,YZz18v,45-54 years old,1,"At home, At the office",Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,Coffee C,Coffee D,Coffee C,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$4-$6,No,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Democrat
2125,7d9yy6,45-54 years old,3,"At home, At the office, On the go",Coffee brewing machine (e.g. Mr. Coffee),"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop",Americano,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Half and half,Raw Sugar (Turbinado),Chocolatey,Somewhat strong,Dark,Full caffeine,5.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the ritual",Yes,No,$8-$10,$4-$6,Yes,$100-$300,Yes,Female,Master's degree,Asian/Pacific Islander,Employed full-time,3,Democrat
2126,ylqB1g,35-44 years old,1,"At home, At a cafe, On the go","Bean-to-cup machine, Pour over","Specialty coffee shop, National chain (e.g. Starbucks, Dunkin), Local cafe",Cappuccino,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Bright,Medium,Medium,Half caff,5.0,3.0,4.0,3.0,4.0,1.0,5.0,2.0,1.0,3.0,3.0,5.0,5.0,Coffee B,Coffee D,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Independent
2127,PAB7M1,>65 years old,2,At home,Pod/capsule machine (e.g. Keurig/Nespresso),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Juicy,Weak,Medium,Full caffeine,5.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,I need the ritual,No,No,$6-$8,$2-$4,No,$50-$100,Yes,Female,High school graduate,White/Caucasian,Retired,More than 3,Republican
2128,zKQVxM,35-44 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,7.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,No affiliation
2129,lNlx8p,35-44 years old,2,"At home, At a cafe","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso",Don't purchase on the go,Pourover,"No - just black, Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Bright,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,Coffee A,Coffee A,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Other,Employed full-time,0,Democrat
2130,5dqNjo,25-34 years old,1,"At a cafe, At the office, At home","Pour over, Espresso",Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,It tastes good,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Republican
2132,jB9j11,25-34 years old,3,"At a cafe, At home, At the office","Pour over, Other, French press",Don't purchase on the go,Latte,No - just black,Don't add diary,Don't add swetener,Nutty,Somewhat strong,Light,Full caffeine,6.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,5.0,Coffee C,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom, Other",Yes,Yes,$8-$10,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2133,5dqJYM,35-44 years old,3,"At home, At a cafe, On the go","Coffee brewing machine (e.g. Mr. Coffee), Pour over, Other","National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop",Latte,"Milk, dairy alternative, or coffee creamer, No - just black",Whole milk,Don't add swetener,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,More than $20,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2134,kYR2Dr,25-34 years old,Less than 1,At a cafe,,Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Chocolatey,Very strong,Dark,Full caffeine,2.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,1.0,5.0,4.0,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,Other,Yes,No,$10-$15,More than $20,No,Less than $20,,Male,Master's degree,Asian/Pacific Islander,Employed full-time,0,No affiliation
2135,zKQV7a,35-44 years old,2,At home,Espresso,Don't purchase on the go,Iced coffee,"Milk, dairy alternative, or coffee creamer",Flavored coffee creamer,Don't add swetener,Caramalized,Somewhat strong,Medium,Full caffeine,5.0,4.0,3.0,5.0,5.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work in person,>$100,"It tastes good, I need the caffeine",Yes,No,$6-$8,$10-$15,No,"More than $1,000",Yes,Female,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,0,Democrat
2136,8dp9Nz,25-34 years old,Less than 1,At a cafe,,Don't purchase on the go,Cappuccino,"Milk, dairy alternative, or coffee creamer, Flavor syrup, No - just black",Almond milk,Don't add swetener,Chocolatey,Somewhat strong,Dark,Full caffeine,6.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,"It tastes good, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,Less than $20,Yes,Female,Master's degree,Hispanic/Latino,Employed full-time,0,Democrat
2137,vNxlRX,18-24 years old,4,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Half caff,5.0,4.0,4.0,4.0,2.0,1.0,4.0,5.0,2.0,3.0,1.0,5.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$60-$80,It tastes good,Yes,Yes,$6-$8,$6-$8,Yes,$100-$300,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,No affiliation
2138,9dJe7p,25-34 years old,3,At home,"Espresso, Pour over, Other, Coffee extract (e.g. Cometeer)",Don't purchase on the go,Cold brew,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Light,Full caffeine,7.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2139,VZ1Kkj,35-44 years old,2,"At home, At a cafe","Pour over, French press, Cold brew, Other",Don't purchase on the go,Cold brew,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Fruity,Medium,Medium,Full caffeine,7.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,More than $20,No,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
2140,WAp48j,35-44 years old,3,"At home, At the office",Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Bold,Medium,Light,Full caffeine,2.0,2.0,4.0,2.0,4.0,5.0,1.0,1.0,3.0,5.0,2.0,3.0,2.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$4-$6,No,$20-$50,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,
2141,MAdWMA,25-34 years old,More than 4,"At a cafe, At home, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Coffee extract (e.g. Cometeer)","Local cafe, Specialty coffee shop",Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Very strong,Light,Full caffeine,7.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$80-$100,"It tastes good, I need the caffeine",Yes,Yes,$6-$8,$10-$15,Yes,$300-$500,Yes,Male,Less than high school,White/Caucasian,Employed full-time,0,Independent
2142,xdNGXv,25-34 years old,2,At home,"Coffee brewing machine (e.g. Mr. Coffee), Other",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Nutty,,Medium,Full caffeine,4.0,3.0,3.0,,3.0,2.0,1.0,2.0,3.0,5.0,4.0,4.0,,Coffee C,Coffee A,Coffee C,,$20-$40,It tastes good,Yes,Yes,$4-$6,$6-$8,No,$50-$100,,,,,,0,
2143,PABo6b,35-44 years old,2,"At home, At the office, At a cafe","Espresso, Pour over",Don't purchase on the go,Cappuccino,"No - just black, Milk, dairy alternative, or coffee creamer","Whole milk, Oat milk",Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,5.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"I need the ritual, I need the caffeine, It tastes good",Yes,Yes,$6-$8,$6-$8,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,No affiliation
2144,OAB6OM,25-34 years old,2,"At home, At a cafe, On the go",Pour over,Specialty coffee shop,Pourover,No - just black,Don't add diary,Don't add swetener,Floral,Somewhat strong,Light,Full caffeine,6.0,1.0,3.0,,4.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,5.0,Coffee A,,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",No,Prefer not to say,,,,0,
2146,kYR2Ld,25-34 years old,1,"At the office, At home","Other, Espresso",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Caramalized,Somewhat strong,Light,Full caffeine,7.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,5.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$6-$8,Yes,$100-$300,Yes,Female,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2147,0Ej4MZ,25-34 years old,1,At home,"Pour over, Other",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Bright,Somewhat strong,Light,Full caffeine,7.0,3.0,3.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2148,BGbvpQ,35-44 years old,3,"At the office, At home, On the go, At a cafe",Coffee brewing machine (e.g. Mr. Coffee),Local cafe,Mocha,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat light,Light,Full caffeine,6.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,5.0,Coffee C,Coffee D,Coffee D,I do a mix of both,$20-$40,It tastes good,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2149,8dp9L5,25-34 years old,4,At home,"Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,8.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,5.0,4.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$60-$80,It tastes good,Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Republican
2151,EPbpKr,25-34 years old,2,At the office,,Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Fruity,Very strong,Light,Full caffeine,7.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$15-$20,Yes,$20-$50,Yes,Male,High school graduate,White/Caucasian,Employed full-time,0,Independent
2152,MAd0AX,35-44 years old,More than 4,"At home, At a cafe","Pour over, Coffee extract (e.g. Cometeer)",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Full caffeine,7.0,2.0,4.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,Coffee A,Coffee A,Coffee C,I primarily work from home,$80-$100,"It tastes good, I need the ritual",Yes,Yes,$15-$20,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
2153,DVvLzq,25-34 years old,3,"At the office, At home, On the go","Pour over, Espresso","Local cafe, Specialty coffee shop",Cappuccino,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,1.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,1.0,4.0,5.0,Coffee B,Coffee D,Coffee B,I primarily work in person,$80-$100,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Republican
2154,XeBjEd,35-44 years old,2,At home,"Espresso, Pour over",Don't purchase on the go,Cappuccino,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Juicy,Somewhat strong,Light,Full caffeine,6.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2156,qbEyL9,25-34 years old,Less than 1,At a cafe,,Don't purchase on the go,Iced coffee,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Chocolatey,Weak,Blonde,Full caffeine,1.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,1.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,I need the caffeine,No,No,$4-$6,$4-$6,Yes,Less than $20,Yes,Female,Bachelor's degree,White/Caucasian,Employed part-time,0,Democrat
2157,AlbkDW,25-34 years old,3,"At home, At a cafe","Pour over, Espresso, Coffee extract (e.g. Cometeer), Other",Don't purchase on the go,Cold brew,No - just black,Don't add diary,Don't add swetener,Bold,Very strong,Medium,Full caffeine,5.0,5.0,1.0,5.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"It tastes good, I need the caffeine",Yes,Yes,$15-$20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2158,bl4axo,25-34 years old,1,"At the office, At home, At a cafe","Espresso, Cold brew, Coffee extract (e.g. Cometeer)",Don't purchase on the go,Mocha,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Chocolatey,Medium,Medium,Full caffeine,7.0,2.0,5.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$20-$40,"I need the ritual, It tastes good",Yes,No,$6-$8,$10-$15,No,$500-$1000,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,No affiliation
2159,DVvLV5,25-34 years old,1,"At the office, At a cafe, At home","Other, Pod/capsule machine (e.g. Keurig/Nespresso)",Don't purchase on the go,Other,"Flavor syrup, Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Caramalized,Somewhat strong,Medium,Full caffeine,7.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,$6-$8,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,2,Democrat
2160,8dp9jk,25-34 years old,Less than 1,At home,Espresso,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Caramalized,Somewhat light,Light,Decaf,5.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,Coffee A,Coffee A,Coffee A,I primarily work from home,<$20,It makes me go to the bathroom,No,Yes,$2-$4,$2-$4,Yes,$20-$50,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2161,24x2LA,25-34 years old,2,"At home, On the go, At a cafe","Pour over, Espresso, Other","Other, Deli or supermarket, Local cafe",Pourover,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$6-$8,$8-$10,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
2162,GrBM1j,18-24 years old,2,"At home, At the office",Espresso,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer","Whole milk, Flavored coffee creamer",Don't add swetener,Bright,Somewhat strong,Light,Full caffeine,4.0,1.0,4.0,5.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$6-$8,No,$20-$50,Yes,Female,Bachelor's degree,Hispanic/Latino,Employed full-time,0,Democrat
2163,1r2L1g,25-34 years old,1,At home,Pour over,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Nutty,Somewhat strong,Light,Full caffeine,7.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,3.0,5.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"I need the ritual, It tastes good, I need the caffeine",Yes,Yes,$10-$15,$15-$20,No,$100-$300,Yes,Non-binary,Master's degree,White/Caucasian,Employed full-time,0,Democrat
2164,9dJelG,>65 years old,More than 4,At the office,,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Flavored coffee creamer,Don't add swetener,Sweet,Medium,Dark,Full caffeine,7.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$60-$80,It tastes good,Yes,No,$6-$8,$6-$8,No,$500-$1000,Yes,Male,High school graduate,White/Caucasian,Employed full-time,More than 3,Republican
